instance,solver,rate reason-deletions,rate time,rate d-time
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Glucose_Hack_Kiel_fastBVE@default,893,493.14,481.64
gto_p60c241,glucose-3.0_PADC_10@default,27,1326.40,1315.42
prime_200560490131,Lingeling@default,1063,476.27,466.10
T98.2.0,Lingeling@default,4793,539.95,529.84
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,smallsat@default,551,64.39,54.36
gto_p60c231,Lingeling@default,3,194.28,184.51
Nb27T6,CaDiCaL@DONTUNZIP-fixed,1,492.40,482.66
Nb29T6,expMC_VSIDS_LRB_Switch_2500@default,0,374.80,365.08
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Riss7.1-fix@BVE_DRAT,864,146.45,136.87
Nb39T6,Riss7.1-fix@BVE_DRAT,0,1628.43,1618.86
gto_p60c231_1,Riss7.1-fix@BVE_DRAT,20,2828.30,2818.74
filter1_true-unreach-call.c,Sparrow2Riss-2018-fixfix@MAIN,4793,60.03,50.76
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_LCM_M1@default,893,122.67,113.45
huck.col.11,glucose3.0@proofs,0,998.42,989.40
Nb37T6,Minisat-v2.2.0-106-ge2dd095@simp_proof,0,1206.66,1197.95
Nb39T6,Maple_CM@default,0,464.18,455.73
Nb51T6,Maple_CM_ordUIP+@default,0,890.08,881.73
Nb49T6,Maple_CM_ordUIP@default,0,695.37,687.06
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM@default,893,234.82,227.11
Nb44T6,Maple_LCM_Scavel_fix2@default,0,526.02,518.89
Nb39T6,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,392.84,385.74
T125.2.0,smallsat@default,1786,3587.61,3580.75
Nb45T6,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,616.04,609.24
queen8_12.col.12,expMC_LRB_VSIDS_Switch@default,0,680.55,673.91
prime_119218851371,smallsat@default,139,915.47,909.06
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,expMC_LRB_VSIDS_Switch@default,893,67.51,61.38
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,varisat@default,0,49.16,43.10
Nb37T6,Maple_LCM+BCrestart@default,0,383.14,377.24
gto_p60c233,Riss7.1-fix@BVE_DRAT,20,2674.13,2668.47
Problem14_label55_true-unreach-call.c,varisat@default,0,72.99,67.36
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_Scavel_fix2@default,831,32.78,27.33
filter1_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,1607,53.39,48.06
T122.2.0,Lingeling@default,1373,1088.80,1083.63
gto_p60c239,GHackCOMSPS_drup@ghack_drup,27,656.36,651.42
ae_rphp055_04,varisat@default,0,631.67,626.75
uniqinv20prop,cms55-main-all4fixed@main,92,57.91,53.07
Problem14_label20_true-unreach-call.c,expGlucose@default,995,26.75,21.92
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Sparrow2Riss-2018-fixfix@MAIN,864,150.18,145.46
Problem14_label20_true-unreach-call.c,varisat@default,0,27.30,22.71
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,glucose4.2.1@default,862,125.10,120.54
Nb27T6,Maple_LCM_Scavel_200_fix2@default,0,698.65,694.10
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM+BCrestart@default,893,217.07,212.76
Nb27T6,cms55-main-all4fixed@main,0,616.84,612.76
Nb37T6,Maple_LCM_M1@default,0,374.74,370.68
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM_Dist@default,893,252.80,248.91
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_CM@default,831,32.24,28.36
uniqinv30prop,cms55-main-all4fixed@autotune,133,53.18,49.41
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,893,62.65,59.24
Problem14_label20_true-unreach-call.c,glu_mix@default,995,29.26,25.97
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,COMiniSatPS_Pulsar_drup@drup,893,70.83,67.83
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,GHackCOMSPS_drup@ghack_drup,831,33.10,30.18
Nb29T6,COMiniSatPS_Pulsar_drup@drup,0,161.46,158.59
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,smallsat@default,582,485.70,483.12
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,glucose-3.0_PADC_3@default,862,85.28,82.75
filter_iir_true-unreach-call.c,Lingeling@default,951,187.31,184.79
gto_p60c241,CaDiCaL@DONTUNZIP-fixed,28,566.34,563.83
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,cms55-main-all4fixed@glubreak,893,39.68,37.25
huck.col.11,Maple_LCM_M1@default,0,428.64,426.22
Nb45T6,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,618.34,615.95
Problem14_label20_true-unreach-call.c,gluHack@default,995,25.40,23.02
Nb52T6,Maple_LCM_Scavel_200_fix2@default,0,755.29,752.99
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM_Scavel_200_fix2@default,862,212.94,210.65
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,893,203.47,201.31
