instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,894,61.80,65.06
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,894,105.46,108.89
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,893,26.17,29.30
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,expGlucose@default,lrat-check pending,lrat-check pending,893,12.49,10.73
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,expMC_LRB_VSIDS_Switch@default,lrat-check pending,lrat-check pending,893,22.49,22.81
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,893,1.40,1.47
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_CM_ordUIP+@default,lrat-check pending,lrat-check pending,894,434.83,409.27
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,lrat-check pending,lrat-check pending,893,62.65,59.24
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,897,7.47,7.40
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleLCMDistChronoBT@default,lrat-check pending,lrat-check pending,893,5.47,5.07
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,893,122.67,113.45
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_LCM_Scavel_200_fix2@default,lrat-check pending,lrat-check pending,893,63.84,62.30
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Minisat-v2.2.0-106-ge2dd095@simp_proof,lrat-check pending,lrat-check pending,894,965.30,991.75
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,893,2.22,1.89
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,893,1.92,1.75
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,varisat@default,lrat-check pending,lrat-check pending,0,1.11,0.96
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,831,1.74,1.53
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,abcdsat_r18@default,lrat-check pending,lrat-check pending,551,33.48,35.85
