instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,COMiniSatPS_Pulsar_drup@drup,17.89,18.38,12.91,17.28,219.2,219.4,289.9,207.3
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expGlucose@default,136.91,142.66,112.60,122.46,898.5,898.7,1584.7,878.0
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expMC_LRB_VSIDS_Switch@default,6.94,8.05,4.65,5.92,132.2,132.3,119.6,127.1
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expMC_VSIDS_LRB_Switch_2500@default,43.54,43.84,32.40,36.99,367.6,367.8,563.0,348.2
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,glucose-3.0_PADC_10@default,76.46,80.46,53.64,60.56,565.0,565.1,957.5,544.2
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,glucose4.2.1@default,125.10,120.54,93.50,97.73,751.8,751.8,1314.7,731.3
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Lingeling@default,29.68,28.90,44.18,50.34,284.6,284.6,389.4,266.9
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM@default,7.05,6.53,4.02,4.46,119.0,119.0,95.9,115.7
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_Dist@default,0.94,1.06,0.68,0.80,65.7,65.8,30.1,71.6
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_ordUIP+@default,15.04,20.54,8.85,10.01,171.1,171.2,193.8,163.1
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_ordUIP@default,11.98,11.98,9.15,9.39,171.1,171.2,188.9,163.2
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,35.15,33.64,24.89,31.02,312.1,312.1,469.4,294.1
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,12.28,11.75,8.07,8.20,169.3,169.3,183.5,160.4
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM+BCrestart@default,9.42,7.69,4.92,5.24,131.4,131.4,109.7,126.2
